id,sender,subject,body,label
email_1,support@service.com,Your Amazon Order,Your order has been shipped and will arrive soon.,shopping
email_2,events@webinarhub.com,Invoice for July,Your invoice for the month of July is attached.,finance
email_3,support@service.com,Feedback Request,Could you take a moment to rate our service?,feedback
email_4,offers@store.com,You're invited to our webinar,Join us for an exciting discussion on AI trends.,events
email_5,noreply@amazon.com,Feedback Request,Could you take a moment to rate our service?,feedback
email_6,hr@company.com,Your Amazon Order,Your order has been shipped and will arrive soon.,shopping
email_7,manager@workplace.com,Project Deadline Extended,The project deadline has been extended by 2 days.,project
email_8,offers@store.com,Feedback Request,Could you take a moment to rate our service?,feedback
email_9,alerts@bank.com,Team Outing Schedule,We are planning a team lunch this Friday.,social
email_10,newsletter@technews.com,Project Deadline Extended,The project deadline has been extended by 2 days.,project
email_11,offers@store.com,Team Outing Schedule,We are planning a team lunch this Friday.,social
email_12,noreply@amazon.com,Special Offer Just for You,Get 50% off on your next purchase using this code.,promotions
email_13,manager@workplace.com,Project Deadline Extended,The project deadline has been extended by 2 days.,project
email_14,newsletter@technews.com,Invoice for July,Your invoice for the month of July is attached.,finance
email_15,newsletter@technews.com,Your Amazon Order,Your order has been shipped and will arrive soon.,shopping
email_16,alerts@bank.com,Team Outing Schedule,We are planning a team lunch this Friday.,social
email_17,events@webinarhub.com,Weekly Newsletter,Here are the top tech stories this week.,news
email_18,manager@workplace.com,You're invited to our webinar,Join us for an exciting discussion on AI trends.,events
email_19,events@webinarhub.com,Project Deadline Extended,The project deadline has been extended by 2 days.,project
email_20,hr@company.com,You're invited to our webinar,Join us for an exciting discussion on AI trends.,events
email_21,noreply@amazon.com,Meeting Reminder,Please join the Zoom meeting at 10 AM.,work
email_22,events@webinarhub.com,Invoice for July,Your invoice for the month of July is attached.,finance
email_23,events@webinarhub.com,Important: Security Update,Please update your password to enhance security.,security
email_24,manager@workplace.com,Special Offer Just for You,Get 50% off on your next purchase using this code.,promotions
email_25,alerts@bank.com,Team Outing Schedule,We are planning a team lunch this Friday.,social
email_26,alerts@bank.com,Your Amazon Order,Your order has been shipped and will arrive soon.,shopping
email_27,support@service.com,Project Deadline Extended,The project deadline has been extended by 2 days.,project
email_28,alerts@bank.com,Invoice for July,Your invoice for the month of July is attached.,finance
email_29,manager@workplace.com,Your Amazon Order,Your order has been shipped and will arrive soon.,shopping
email_30,noreply@amazon.com,Meeting Reminder,Please join the Zoom meeting at 10 AM.,work
email_31,hr@company.com,Special Offer Just for You,Get 50% off on your next purchase using this code.,promotions
email_32,offers@store.com,Weekly Newsletter,Here are the top tech stories this week.,news
email_33,newsletter@technews.com,Weekly Newsletter,Here are the top tech stories this week.,news
email_34,support@service.com,Important: Security Update,Please update your password to enhance security.,security
email_35,manager@workplace.com,You're invited to our webinar,Join us for an exciting discussion on AI trends.,events
email_36,hr@company.com,Invoice for July,Your invoice for the month of July is attached.,finance
email_37,manager@workplace.com,You're invited to our webinar,Join us for an exciting discussion on AI trends.,events
email_38,offers@store.com,Feedback Request,Could you take a moment to rate our service?,feedback
email_39,support@service.com,Weekly Newsletter,Here are the top tech stories this week.,news
email_40,noreply@amazon.com,Invoice for July,Your invoice for the month of July is attached.,finance
email_41,alerts@bank.com,Feedback Request,Could you take a moment to rate our service?,feedback
email_42,noreply@amazon.com,Invoice for July,Your invoice for the month of July is attached.,finance
email_43,support@service.com,Meeting Reminder,Please join the Zoom meeting at 10 AM.,work
email_44,events@webinarhub.com,Feedback Request,Could you take a moment to rate our service?,feedback
email_45,events@webinarhub.com,Project Deadline Extended,The project deadline has been extended by 2 days.,project
email_46,offers@store.com,Important: Security Update,Please update your password to enhance security.,security
email_47,support@service.com,Your Amazon Order,Your order has been shipped and will arrive soon.,shopping
email_48,manager@workplace.com,You're invited to our webinar,Join us for an exciting discussion on AI trends.,events
email_49,manager@workplace.com,Invoice for July,Your invoice for the month of July is attached.,finance
email_50,noreply@amazon.com,Meeting Reminder,Please join the Zoom meeting at 10 AM.,work
